bldg_id,BuildingType,RC,WallArea,surfaceArea,OverallHeight,Orientation,GalzingArea,GlazingAreaDistribution,,HeatingEnergykwh,CoolingEnergy
42,Single-Family Detached,0.670787006,3272,9518.4,1,West,374.4,0.114425428,,39887.5588,6277.289252
58,Single-Family Detached,0.995742895,1946,2795,2,Northwest,233.3,0.119886948,,19988.91234,5037.598625
120,Single-Family Detached,0.99988623,1156.5,2034.9,2,South,132.2,0.114310419,,5113.210961,3596.275103
149,Single-Family Detached,0.979627785,2629.8,4126.8,2,Northeast,293.2,0.111491368,,9884.407984,5448.777337
160,Mobile Home,0.801044342,1558.6,3737.6,1,North,234,0.150134736,,8704.503856,3444.464288
189,Single-Family Attached,0.997882701,498,985.4,2,West,29.9,0.060040161,,2479.674325,2212.979651
218,Single-Family Detached,0.801044342,1558.6,3737.6,1,Southeast,467.6,0.300012832,,2515.428995,4008.919169
307,Single-Family Detached,0.744529875,2381,6081.6,1,Northwest,230.6,0.096850063,,906.175749,2483.191178
326,3 or 4 Unit,0.880032866,563.3,1701.3,1,West,67.5,0.119829576,,451.9155902,2101.319573
329,Single-Family Detached,0.906940775,1113.6,2098.6,1,North,89.2,0.080100575,,16251.96312,5878.419525
408,Single-Family Attached,0.999939426,586,1260.8,2,East,105.5,0.18003413,,3313.168448,2167.846706
411,2 Unit,0.997557105,975.8,975.8,2,North,58.6,0.06005329,,1247.603546,4127.319882
434,Mobile Home,0.906940775,991.2,1872.2,1,West,178.4,0.179983858,,1538.036976,2756.919557
564,Single-Family Detached,0.871514547,1340.8,2713.8,1,South,210.6,0.157070406,,12396.6132,3537.953959
649,5 to 9 Unit,0.989937806,416.7,416.7,2,West,50,0.119990401,,1503.161519,2277.162215
667,Mobile Home,0.871514547,1170.2,2398.2,1,North,105.4,0.090070073,,610.4670391,4063.723459
706,Mobile Home,0.670787006,2496,8083,1,West,374.4,0.15,,5500.064774,6078.000924
723,Mobile Home,0.906940775,991.2,1872.2,1,North,148.6,0.14991929,,2180.448762,1978.815866
737,Single-Family Detached,0.801044342,1861.2,4297.4,1,Northeast,187,0.100472813,,0,95.24809781
747,Single-Family Detached,0.832924253,1611.8,3510.2,1,East,247.6,0.153617074,,4721.37494,3463.806979
815,Single-Family Detached,0.928814344,4373.8,7819,2,South,309.1,0.070670813,,1804.145508,3225.833269
910,Single-Family Detached,0.832924253,1680,3954,1,East,144.1,0.08577381,,16767.76821,3697.384621
923,Single-Family Detached,0.871514547,1340.8,2713.8,1,North,70.2,0.052356802,,2513.084427,5567.47112
954,Single-Family Detached,0.906940775,1421.4,2728.3,1,South,78.9,0.055508653,,4055.517469,1306.803902
957,3 or 4 Unit,0.997557105,662.2,1516.2,2,Southeast,99.2,0.149803685,,1416.998624,1825.246625
989,Single-Family Detached,0.995742895,2064,3013.2,2,Southeast,292.1,0.141521318,,9840.154252,6044.004681
1010,2 Unit,0.99999585,1126.6,1126.6,2,Southwest,202.8,0.180010652,,1313.837608,5349.133173
1060,Mobile Home,0.906940775,991.2,1872.2,1,East,118.8,0.119854722,,0,67.99248828
1121,Mobile Home,0.832924253,1376,3074,1,South,165.2,0.12005814,,1282.772074,3735.483861
1135,Single-Family Detached,0.801044342,1861.2,4297.4,1,South,187,0.100472813,,16373.29455,7104.042741
