BuildingType,RC,WallArea,surfaceArea,OverallHeight,Orientation,GalzingArea,GlazingAreaDistribution,HeatingEnergykwh,CoolingEnergy
8,0.670787006,3272.0,9518.4,1,7,374.4,0.114425428,39887.5588,6277.289252
8,0.995742895,1946.0,2795.0,2,3,233.3,0.119886948,19988.91234,5037.598625
8,0.99988623,1156.5,2034.9,2,4,132.2,0.114310419,5113.210961,3596.275103
8,0.979627785,2629.8,4126.8,2,2,293.2,0.111491368,9884.407984,5448.777337
6,0.801044342,1558.6,3737.6,1,1,234.0,0.150134736,8704.503856,3444.464288
7,0.997882701,498.0,985.4,2,7,29.9,0.060040161,2479.674325,2212.979651
8,0.801044342,1558.6,3737.6,1,5,467.6,0.300012832,2515.428995,4008.919169
8,0.744529875,2381.0,6081.6,1,3,230.6,0.096850063,906.175749,2483.191178
3,0.880032866,563.3,1701.3,1,7,67.5,0.119829576,451.9155902,2101.319573
8,0.906940775,1113.6,2098.6,1,1,89.2,0.080100575,16251.96312,5878.419525
7,0.999939426,586.0,1260.8,2,0,105.5,0.18003413,3313.168448,2167.846706
1,0.997557105,975.8,975.8,2,1,58.6,0.06005329,1247.603546,4127.319882
6,0.906940775,991.2,1872.2,1,7,178.4,0.179983858,1538.036976,2756.919557
8,0.871514547,1340.8,2713.8,1,4,210.6,0.157070406,12396.6132,3537.953959
4,0.989937806,416.7,416.7,2,7,50.0,0.119990401,1503.161519,2277.162215
6,0.871514547,1170.2,2398.2,1,1,105.4,0.090070073,610.4670391,4063.723459
6,0.670787006,2496.0,8083.0,1,7,374.4,0.15,5500.064774,6078.000924
6,0.906940775,991.2,1872.2,1,1,148.6,0.14991929,2180.448762,1978.815866
8,0.801044342,1861.2,4297.4,1,2,187.0,0.100472813,0.0,95.24809781
8,0.832924253,1611.8,3510.2,1,0,247.6,0.153617074,4721.37494,3463.806979
8,0.928814344,4373.8,7819.0,2,4,309.1,0.070670813,1804.145508,3225.833269
8,0.832924253,1680.0,3954.0,1,0,144.1,0.08577381,16767.76821,3697.384621
8,0.871514547,1340.8,2713.8,1,1,70.2,0.052356802,2513.084427,5567.47112
8,0.906940775,1421.4,2728.3,1,4,78.9,0.055508653,4055.517469,1306.803902
3,0.997557105,662.2,1516.2,2,5,99.2,0.149803685,1416.998624,1825.246625
8,0.995742895,2064.0,3013.2,2,5,292.1,0.141521318,9840.154252,6044.004681
1,0.99999585,1126.6,1126.6,2,6,202.8,0.180010652,1313.837608,5349.133173
6,0.906940775,991.2,1872.2,1,0,118.8,0.119854722,0.0,67.99248828
6,0.832924253,1376.0,3074.0,1,4,165.2,0.12005814,1282.772074,3735.483861
8,0.801044342,1861.2,4297.4,1,4,187.0,0.100472813,16373.29455,7104.042741
6,0.937146424,840.8,1474.8,1,7,75.6,0.089914367,326.7742433,905.2965358
8,0.871514547,1637.6,3332.5,1,0,125.4,0.076575476,4914.215704,5746.537545
8,0.928814344,4463.8,8070.0,2,7,500.8,0.112191406,34294.59049,11561.36065
2,0.962018974,201.2,201.2,3,4,60.3,0.299701789,270.7976689,1754.616497
7,0.873464516,787.3,1994.3,1,0,47.2,0.059951734,16697.43115,2066.444116
3,0.910018263,487.9,1341.9,1,3,43.9,0.089977454,7971.240038,3471.426826
8,0.744529875,2916.6,7583.2,1,0,99.5,0.034115065,4573.960192,4354.15689
6,0.906940775,991.2,1872.2,1,7,89.2,0.089991929,1066.485625,2231.443128
8,0.871514547,1340.8,2713.8,1,0,140.4,0.104713604,2011.346754,2223.823281
8,0.995742895,2512.8,3775.0,2,4,166.4,0.066220949,16259.2899,2630.312855
7,0.990665862,958.2,1675.5,3,4,172.3,0.179816322,8813.233222,67.99248828
8,0.928814344,4373.8,7819.0,2,6,515.2,0.117792309,25525.611,4998.620172
8,0.906940775,1261.0,2430.0,1,7,105.2,0.083425852,3715.555028,4306.386305
8,0.801044342,2265.2,5345.4,1,2,123.4,0.054476426,8764.583425,6084.155417
8,0.988418785,2355.6,3573.6,2,4,330.5,0.140303957,31986.36275,1781.579035
8,0.995742895,2466.0,3576.2,2,1,116.9,0.047404704,8729.707967,1561.189591
8,0.871514547,1340.8,2713.8,1,1,70.2,0.052356802,12982.46226,4339.210265
8,0.995742895,1334.6,2475.8,2,4,54.8,0.041060992,8828.179847,6791.922051
8,0.906940775,1421.4,2728.3,1,2,78.9,0.055508653,2769.228542,2642.62184
0,0.995949589,684.8,684.8,2,1,82.1,0.119889019,3862.383634,2452.125644
8,0.995742895,2512.8,3775.0,2,4,333.1,0.132561286,4386.394708,2114.214701
6,0.906940775,991.2,1872.2,1,4,118.8,0.119854722,10761.5697,2932.176057
8,0.906940775,1421.4,2728.3,1,6,105.2,0.074011538,1844.882387,4989.828041
7,0.999939426,586.0,1260.8,2,1,35.2,0.060068259,6592.340653,2130.62668
8,0.832924253,1611.8,3510.2,1,1,247.6,0.153617074,7044.256243,6192.005571
8,0.832924253,1898.8,4119.2,1,4,186.2,0.098061934,6116.979376,4801.969485
4,0.962018974,764.5,1902.5,3,1,137.6,0.17998692,959.2216127,95.24809781
8,0.832924253,1376.0,3074.0,1,7,247.6,0.17994186,12443.79764,3033.285577
8,0.995742895,2466.0,3576.2,2,4,233.4,0.094647202,22352.53052,4450.577272
8,0.801044342,1861.2,4297.4,1,2,187.0,0.100472813,6829.728219,8538.039487
7,0.988871039,1728.6,2931.6,2,7,178.3,0.103147055,10148.75809,2352.48148
6,0.937146424,840.8,1474.8,1,3,75.6,0.089914367,1409.085706,2586.645265
8,0.773567127,2010.4,5264.4,1,7,137.7,0.068493832,17117.10892,7322.966831
8,0.928814344,3913.8,7139.3,2,0,400.4,0.102304666,11636.09377,7550.976123
8,0.871514547,1637.6,3332.5,1,0,125.4,0.076575476,3072.264029,3207.369792
5,0.355425891,402.4,402.4,35,2,120.6,0.299701789,426.7114782,2033.913227
8,0.906940775,1113.6,2098.6,1,0,118.8,0.106681034,1509.022941,1858.070585
0,0.99999585,201.2,201.2,2,7,18.1,0.089960239,538.957698,2013.984395
8,0.99988623,2038.8,2796.8,2,3,248.4,0.121836374,5781.11993,3921.58399
8,0.928814344,4373.8,7819.0,2,4,412.0,0.094197266,693.4061521,7274.903175
8,0.871514547,1340.8,2713.8,1,3,105.4,0.078609785,8225.039585,570.9024447
6,0.937146424,840.8,1474.8,1,3,126.0,0.149857279,2199.791453,1034.833949
8,0.832924253,1898.8,4119.2,1,0,111.7,0.058826627,1218.882581,4260.960289
8,0.871514547,1170.2,2398.2,1,7,175.4,0.149888908,12165.08705,2664.895241
8,0.988418785,2588.2,3965.7,2,2,189.9,0.073371455,16786.23169,5331.548908
0,0.962018974,563.3,563.3,3,7,33.8,0.060003551,795.9810266,1932.510637
8,0.832924253,2027.8,4570.2,1,5,108.0,0.05325969,4020.34894,3450.032639
8,0.801044342,2265.2,5345.4,1,0,411.2,0.181529225,17963.49818,7895.627701
8,0.744529875,2766.8,7111.4,1,4,154.4,0.05580454,2241.407545,5726.31564
8,0.995742895,2064.0,3013.2,2,5,174.9,0.084738372,1523.969565,3706.176754
8,0.832924253,1611.8,3510.2,1,1,165.2,0.102494106,9205.069243,11193.26338
7,0.996000752,690.8,1628.8,2,5,103.7,0.150115808,6862.84525,3508.646853
8,0.832924253,2027.8,4570.2,1,5,72.0,0.03550646,3788.236653,4689.723265
8,0.832924253,2027.8,4570.2,1,4,216.0,0.106519381,1708.018197,6372.244279
4,0.997557105,487.9,487.9,2,1,87.9,0.180159869,4333.348843,1301.528623
1,0.910018263,662.2,1516.2,1,1,59.6,0.09000302,209.5458152,1770.149263
1,0.981471835,406.6,728.6,1,4,36.5,0.089768815,635.3780801,1433.117533
2,0.98165708,244.6,1926.6,3,0,29.3,0.119787408,191.3754088,3314.047661
8,0.832924253,1680.0,3954.0,1,7,360.0,0.214285714,9119.19942,9419.890338
8,0.871514547,1340.8,2713.8,1,5,70.2,0.052356802,13730.67271,2382.960871
